"","Transaction","Menu","Class"
"14824",28969,"Premium Malts 380ml","Beer"
"14825",28969,"Chicken Karaage Karikari Gobo","MeatVeg"
"14826",28970,"Aus Wagyu Harami Don","RiceNoodle"
"14827",28970,"Mixed Roll Sushi","Sushi Roll"
"14828",28970,"Aburi Sal Hotate Carpaccio","Appetizer"
"14829",28971,"Yakiniku KM","Dinner KM"
"14830",28971,"Salmon Oyako Chirashi","Chirashi"
"14831",28971,"[8pc]Crispy Salmon Avo Roll","Sushi Roll"
"14832",28971,"Edamame","Appetizer"
"14833",28972,"[SD]Hanakago Bento","Prem Dinner"
"14834",28972,"[SD]Temari Sushi & Jp Wagyu","Prem Dinner"
"14835",28972,"Ika Ichiya Boshi Aburi","Seafood"
"14836",28972,"Kids Sushi Udon Meal","Kids"
"14837",28973,"[SD]Aburi Bara Chirashi Set","Sushi Set"
"14838",28973,"[SD]Unagi Yakiniku KM","Dinner KM"
"14839",28973,"Gindara Saikyo Yaki","Seafood"
"14840",28973,"SUN Style Fish & Chips","Seafood"
"14841",28973,"Pork Kalbi Yaki","MeatVeg"
"14842",28973,"[4pc]Sp Aburi Salmon Roll","Sushi Roll"
"14843",28973,"Green Apple Amasake","Cocktail"
"14844",28973,"Hokkaido Amasake","Cocktail"
"14845",28974,"Hamachi Kama Yaki","Seafood"
"14846",28974,"Kakuni Mentaiko KM","Dinner KM"
"14847",28974,"[8pc]Sp Aburi Salmon Roll","Sushi Roll"
"14848",28974,"[8pc]Crispy Salmon Mango Roll","Sushi Roll"
"14849",28974,"Nabeyaki Udon","RiceNoodle"
"14850",28974,"Mozza Koromo Age","Appetizer"
"14851",28974,"Hokkaido Brown Sugar Milk","Non-Alc"
"14852",28975,"Tempura Soba","RiceNoodle"
"14853",28975,"Hot Sake 120ml","Sake"
"14854",28976,"[SD]Hanakago Bento","Prem Dinner"
"14855",28976,"Seafood Mix KM","Dinner KM"
"14856",28976,"Pork & Seafood Okonomiyaki","MeatVeg"
"14857",28976,"Gyu Tan Kosho Yaki","MeatVeg"
"14858",28977,"Denshin Yuki 720ml","Sake"
"14859",28977,"[SD]Hamachi Kama & Sal Sashimi","Prem Dinner"
"14860",28977,"[SD]Tokusen Tendon & Sashimi","Prem Dinner"
"14861",28977,"[SD]Salmon & Tori KM","Dinner KM"
"14862",28977,"Salmon Sushi Mori","Sushi"
"14863",28977,"Pork Shogayaki","MeatVeg"
"14864",28977,"Tofu Parfait","Parfait"
"14865",28977,"Ringo Float","Promo"
"14866",28977,"SUN Tofu Cheesecake","Parfait"
"14867",28978,"[SD]Aburi Bara Chirashi Set","Sushi Set"
"14868",28978,"[SD]Aburi Bara Chirashi Set","Sushi Set"
"14869",28978,"[SD]Salmon Sushi Mori Set","Sushi Set"
"14870",28978,"SUN Tofu Cheesecake","Parfait"
"14871",28979,"Momokawa Junmai 720ml","Sake"
"14872",28979,"[DS]Premium Kaisen Nabe","Nabe"
"14873",28979,"Salmon Avocado Salad","Appetizer"
"14874",28979,"Aburi Salmon Carpaccio","Appetizer"
"14875",28979,"Tofu & Horenso Miso Yaki","Appetizer"
"14876",28980,"[SD]Hotate Sal Una Chirashi","Sushi Set"
"14877",28980,"Sun Shake Salad","Salad"
"14878",28980,"Aburi Salmon Carpaccio","Appetizer"
"14879",28980,"Matcha Parfait","Parfait"
"14880",28981,"[SD]Salmon & Tori KM","Dinner KM"
"14881",28981,"Tempura Soba","RiceNoodle"
"14882",28981,"Crispy Fried Apple Pie","Parfait"
"14883",28981,"Oreo Cake","Parfait"
"14884",28982,"Aus Wagyu Harami Don","RiceNoodle"
"14885",28982,"Aburi Salmon Carpaccio","Appetizer"
"14886",28982,"Ringo Highball","Promo"
"14887",28983,"Mixed Roll Sushi","Sushi Roll"
"14888",28983,"Chawanmushi","Appetizer"
"14889",28983,"Tofu Parfait","Parfait"
"14890",28983,"Kurogoma Ice Cream","Parfait"
"14891",28983,"Matcha Ice Cream","Parfait"
"14892",28984,"[SD]Salmon & Tori KM","Dinner KM"
"14893",28984,"Unagi Salmon Chirashi","Chirashi"
"14894",28984,"SUN Tofu Cheesecake","Parfait"
"14895",28985,"[SD]Unagi & Salmon Chirashi","Sushi Set"
"14896",28985,"[SD]Chicken Pepper & Salmon","Steak Set"
"14897",28985,"[SD]Saba Shio & Pork Toji","Washoku Set"
"14898",28985,"[SD]Salmon Oyako Chirashi Set","Sushi Set"
"14899",28985,"Chicken Karaage Karikari Gobo","MeatVeg"
"14900",28986,"[SD]Hanakago Bento","Prem Dinner"
"14901",28986,"Salmon Oyako Chirashi","Chirashi"
"14902",28986,"Kids Sushi Udon Meal","Kids"
"14903",28986,"Agedashi Tofu","Appetizer"
"14904",28987,"Hato Masamune","Promo"
"14905",28987,"Steak Moriawase","Steak"
"14906",28987,"[SD]Seafood Mix KM","Dinner KM"
"14907",28987,"[2p]Sashimi 3K","Sashimi"
"14908",28987,"Odamaki Mushi","Appetizer"
"14909",28987,"Tako Red Ginger Chigiri Age","Appetizer"
"14910",28987,"Kids Meal","Kids"
"14911",28988,"[SD]Salmon & Tori KM","Dinner KM"
"14912",28988,"Yuzu Honey Tea","Non-Alc"
"14913",28989,"Mixed Roll Sushi","Sushi Roll"
"14914",28989,"Edamame","Appetizer"
"14915",28990,"Aburi Kaisen Chirashi KM","Dinner KM"
"14916",28991,"[SD]Aburi Kaisen Chirashi KM","Dinner KM"
"14917",28991,"Kurogoma Ice Cream","Parfait"
"14918",28992,"[SD]Premium Seafood KM","Dinner KM"
"14919",28992,"[SD]Niku Atsu Hotate Unagi KM","Dinner KM"
"14920",28992,"[SD]Unagi Yakiniku KM","Dinner KM"
"14921",28992,"[SD]Aus Wagyu Don & Una Yana","Washoku Set"
"14922",28992,"[SD]Unagi Yakiniku KM","Dinner KM"
"14923",28992,"[SD]Temp Soba & Mini Chirashi","Washoku Set"
"14924",28992,"[SD]CA Tonkatsu & Salmon","Washoku Set"
"14925",28992,"Surume Ika Teriyaki","Seafood"
"14926",28992,"Sashimi Salad","Appetizer"
"14927",28992,"Pork Kalbi Yaki","MeatVeg"
"14928",28992,"Ringo Float","Promo"
"14929",28992,"Matcha Ice Cream","Parfait"
"14930",28993,"Temari Sushi","Sushi"
"14931",28993,"Beef Nabe","Nabe"
"14932",28993,"[2p]Sashimi 3K","Sashimi"
"14933",28993,"Odamaki Mushi","Appetizer"
"14934",28993,"Chutoro Sushi","Sushi"
"14935",28993,"Agedashi Tofu","Appetizer"
"14936",28994,"[SD]Premium Seafood KM","Dinner KM"
"14937",28994,"[2p]Sashimi 5K","Sashimi"
"14938",28994,"Premium Malts 380ml","Beer"
"14939",28995,"[2p]Sashimi 7K","Sashimi"
"14940",28995,"[SD]Gindara Teri & Sal Avo Sld","Prem Dinner"
"14941",28995,"Prem Kaisen Nabe","Nabe"
"14942",28997,"Seafood Mix KM","Dinner KM"
"14943",28997,"[8pc]Crispy Shrimp Mango Roll","Sushi Roll"
"14944",28997,"Calpis Yuzu Lemon Jug","Non-Alc"
"14945",28997,"Aburi Sal Hotate Carpaccio","Appetizer"
"14946",28997,"Kids Sushi Udon Meal","Kids"
"14947",28997,"Chawanmushi","Appetizer"
"14948",28997,"SUN Tofu Cheesecake","Parfait"
"14949",28998,"[SL]Yakimono & Sashimi 3K","Washoku Lunch"
"14950",28998,"Sashimi Salad","Appetizer"
"14951",28999,"[KL]Gindara Saikyo Kobachi","Kobachi Lunch"
"14952",28999,"[KL]Gindara Saikyo Kobachi","Kobachi Lunch"
"14953",29000,"[SL]Salmon Belly Nabe Set","Nabe Lunch"
"14954",29000,"[SL]Nabe Udon & Roll","Nabe Lunch"
"14955",29000,"SUN Tofu Cheesecake","Parfait"
"14956",29001,"[KL]Salmon Belly Teriyaki","Kobachi Lunch"
"14957",29001,"[SL]Buta Don Set","Donburi Lunch"
"14958",29002,"[SL]Seafood Mix KM","KM Lunch"
"14959",29002,"[SL]Salmon Oyako Chirashi Set","Chirashi Lunch"
"14960",29002,"[KL]Chicken Teriyaki Kobachi","Kobachi Lunch"
"14961",29003,"Komachi Bento","Bento"
"14962",29003,"[SL]Tendon Set","Donburi Lunch"
"14963",29004,"[SL]Saba & Salmon Teriyaki","Steak Lunch"
"14964",29005,"[SL]Kaisen Mix Nabe Set","Nabe Lunch"
"14965",29005,"[SL]Salmon Oyako Chirashi Set","Chirashi Lunch"
"14966",29006,"[SL]Unagi Yakiniku KM","KM Lunch"
"14967",29006,"[KL]Salmon Belly Shioyaki","Kobachi Lunch"
"14968",29006,"Concord Spritzer","Non-Alc"
"14969",29007,"[SL]Unagi Salmon Chirashi","Chirashi Lunch"
"14970",29007,"[SL]Salmon Teri & Chicken","Steak Lunch"
"14971",29007,"[KL]Salmon Belly Shioyaki","Kobachi Lunch"
"14972",29007,"Sashimi Salad","Appetizer"
"14973",29008,"[KL]Salmon Belly Teriyaki","Kobachi Lunch"
"14974",29008,"[SL]Unagi Yakiniku KM","KM Lunch"
"14975",29008,"[SL]Salmon Tori KM","KM Lunch"
"14976",29008,"[KL]Chicken Teriyaki Kobachi","Kobachi Lunch"
"14977",29009,"[SL]Teriyaki Wagyu Harami Don","Donburi Lunch"
"14978",29009,"[SL]Salmon Oyako Chirashi Set","Chirashi Lunch"
"14979",29009,"[SL]Salmon Tori KM","KM Lunch"
"14980",29009,"3pc Salmon Sushi Mori","Side"
"14981",29010,"[SL]Tendon Set","Donburi Lunch"
"14982",29010,"[SL]Salmon Tori KM","KM Lunch"
"14983",29011,"[SL]Salmon Tori KM","KM Lunch"
"14984",29012,"[KL]Pork Shogayaki Kobachi","Kobachi Lunch"
"14985",29012,"Caramel Pear Mousse","Parfait"
"14986",29013,"Shokado Bento","Bento"
"14987",29013,"[SL]SUN Chirashi","Chirashi Lunch"
"14988",29014,"[SL]Niku Atsu Hotate Unagi KM","KM Lunch"
"14989",29014,"[KL]Salmon Belly Shioyaki","Kobachi Lunch"
"14990",29015,"[SL]Aburi Kaisen KM","KM Lunch"
"14991",29015,"[SL]Buta Don Set","Donburi Lunch"
"14992",29016,"[SL]Nama Bara Chirashi Set","Chirashi Lunch"
"14993",29016,"[SL]Aburi Kaisen Bara Chirashi","Chirashi Lunch"
"14994",29016,"[SL]Aburi Kaisen Bara Chirashi","Chirashi Lunch"
"14995",29016,"[SL]Teriyaki Wagyu Harami Don","Donburi Lunch"
"14996",29017,"[SL]Aburi Sal Hotate Don","Donburi Lunch"
"14997",29017,"[SL]Tendon Set","Donburi Lunch"
"14998",29018,"[SL]Saba & Salmon Teriyaki","Steak Lunch"
"14999",29018,"[SL]Salmon Teri & Chicken","Steak Lunch"
"15000",29019,"Shokado Bento","Bento"
"15001",29019,"[SL]Tori Unagi KM","KM Lunch"
"15002",29020,"[SL]Yakimono & Sashimi 3K","Washoku Lunch"
"15003",29020,"[SL]Aburi Kaisen KM","KM Lunch"
"15004",29020,"[SL]Aburi Kaisen KM","KM Lunch"
"15005",29020,"[SL]Kakuni Mentaiko KM","KM Lunch"
"15006",29020,"[SL]Unagi Yakiniku KM","KM Lunch"
"15007",29020,"[SL]Salmon Tori KM","KM Lunch"
"15008",29021,"[SL]Aburi Kaisen Bara Chirashi","Chirashi Lunch"
"15009",29021,"[SL]SUN Sauce Katsu Don","Donburi Lunch"
"15010",29021,"Matcha Parfait","Parfait"
"15011",29022,"[SL]Hotate Unagi Sal Chirashi","Chirashi Lunch"
"15012",29022,"[SL]Aburi Kaisen Bara Chirashi","Chirashi Lunch"
"15013",29023,"[SL]Gindara & Niku Tofu Nabe","Washoku Lunch"
"15014",29023,"[SL]Seafood Mix KM","KM Lunch"
"15015",29023,"SUN Tofu Cheesecake","Parfait"
"15016",29024,"Shokado Bento","Bento"
"15017",29024,"[SL]Mountain Pork Nabe Set","Nabe Lunch"
"15018",29025,"[SL]Salmon Sushi Mori","Sushi Lunch"
"15019",29025,"[SL]Teriyaki Wagyu Harami Don","Donburi Lunch"
"15020",29026,"[SL]Hotate Unagi Sal Chirashi","Chirashi Lunch"
"15021",29026,"[SL]Unagi Salmon Chirashi","Chirashi Lunch"
"15022",29026,"Kids Meal","Kids"
"15023",29027,"[KL]Salmon Belly Teriyaki","Kobachi Lunch"
"15024",29027,"[SL]Buta Don Set","Donburi Lunch"
"15025",29027,"Kake Udon","RiceNoodle"
"15026",29027,"Chawanmushi","Appetizer"
"15027",29028,"[KL]Pork Shogayaki Kobachi","Kobachi Lunch"
"15028",29028,"[4pc]Pink Dragon Roll","Sushi Roll"
"15029",29029,"[SL]SUN Chirashi","Chirashi Lunch"
"15030",29029,"[SL]Aburi Kaisen Bara Chirashi","Chirashi Lunch"
"15031",29029,"[SL]Tokusen Tendon","Donburi Lunch"
"15032",29029,"[SL]Unagi Salmon Chirashi","Chirashi Lunch"
"15033",29029,"[KL]Pork Shogayaki Kobachi","Kobachi Lunch"
"15034",29030,"[SL]Salmon Tori KM","KM Lunch"
"15035",29030,"[SL]Yakiniku KM","KM Lunch"
"15036",29031,"[SL]SUN Chirashi","Chirashi Lunch"
"15037",29031,"[SL]Saba & Salmon Teriyaki","Steak Lunch"
"15038",29031,"[SL]Tori Unagi KM","KM Lunch"
"15039",29031,"[SL]SUN Sauce Katsu Don","Donburi Lunch"
"15040",29031,"[KL]Chicken Teriyaki Kobachi","Kobachi Lunch"
"15041",29032,"[KL]Gindara Saikyo Kobachi","Kobachi Lunch"
"15042",29032,"[SL]Saba & Salmon Teriyaki","Steak Lunch"
"15043",29032,"[SL]Saba Shio & Tamago Toji","Washoku Lunch"
"15044",29033,"[SL]Salmon Oyako Chirashi Set","Chirashi Lunch"
"15045",29034,"[SL]Nama Bara Chirashi Set","Chirashi Lunch"
"15046",29034,"[SL]Aburi Kaisen KM","KM Lunch"
"15047",29035,"[SL]Aburi Kaisen Bara Chirashi","Chirashi Lunch"
"15048",29035,"[SL]Salmon Tori KM","KM Lunch"
"15049",29035,"[4pc]Pink Dragon Roll","Sushi Roll"
"15050",29035,"[4pc]Avo Soft Shell","Sushi Roll"
"15051",29036,"[SL]Beef Nabe Set","Nabe Lunch"
"15052",29036,"[SL]Tori Unagi KM","KM Lunch"
"15053",29037,"[SL]Hotate Unagi Sal Chirashi","Chirashi Lunch"
"15054",29037,"[SL]Tori Unagi KM","KM Lunch"
"15055",29038,"[SL]Gindara & Niku Tofu Nabe","Washoku Lunch"
"15056",29039,"[SL]Tokusen Tendon","Donburi Lunch"
"15057",29039,"[SL]Salmon Oyako Chirashi Set","Chirashi Lunch"
"15058",29039,"[KL]Chicken Teriyaki Kobachi","Kobachi Lunch"
"15059",29039,"SUN Tofu Cheesecake","Parfait"
"15060",29039,"3pc Salmon Sushi Mori","Side"
"15061",29040,"[SL]Aburi Kaisen Bara Chirashi","Chirashi Lunch"
"15062",29040,"[SL]Unagi Yakiniku KM","KM Lunch"
"15063",29041,"[SL]Seafood Mix KM","KM Lunch"
"15064",29041,"[SL]Mixed Roll Sushi","Sushi Lunch"
"15065",29041,"[SL]Kakuni Mentaiko KM","KM Lunch"
"15066",29041,"[KL]Pork Shogayaki Kobachi","Kobachi Lunch"
"15067",29041,"Yasai Tempura","Side"
"15068",29042,"[SL]Aburi Kaisen Bara Chirashi","Chirashi Lunch"
"15069",29042,"[SL]Salmon Teri & Chicken","Steak Lunch"
"15070",29042,"[SL]Tendon Set","Donburi Lunch"
"15071",29042,"[SL]Aburi Sal Hotate Don","Donburi Lunch"
"15072",29042,"[8pc]Sp Aburi Salmon Roll","Sushi Roll"
"15073",29043,"Komachi Bento","Bento"
"15074",29043,"[SL]Buta Don Set","Donburi Lunch"
"15075",29044,"[SL]Seafood Mix KM","KM Lunch"
"15076",29045,"[SL]Unagi Yakiniku KM","KM Lunch"
"15077",29045,"[SL]Unagi Yakiniku KM","KM Lunch"
"15078",29046,"[SL]Teriyaki Wagyu Harami Don","Donburi Lunch"
"15079",29046,"[SL]Salmon Oyako Chirashi Set","Chirashi Lunch"
"15080",29046,"[4pc]Sp Aburi Salmon Roll","Sushi Roll"
"15081",29046,"Kids Meal","Kids"
"15082",29046,"Kids Sushi Udon Meal","Kids"
"15083",29046,"[4pc]Avo Soft Shell","Sushi Roll"
"15084",29047,"[SL]Gindara & Niku Tofu Nabe","Washoku Lunch"
"15085",29048,"[SL]Temp Soba & Mini Sal Don","Washoku Lunch"
"15086",29048,"[SL]Salmon Tori KM","KM Lunch"
"15087",29048,"[SL]Yakiniku KM","KM Lunch"
"15088",29049,"[SL]Unagi Yakiniku KM","KM Lunch"
"15089",29049,"[SL]Unagi Yakiniku KM","KM Lunch"
"15090",29050,"[SL]Temp Soba & Mini Sal Don","Washoku Lunch"
"15091",29050,"[SL]Saba Shio & Tamago Toji","Washoku Lunch"
"15092",29051,"[SL]US Tenderloin Steak","Steak Lunch"
"15093",29051,"[SL]Salmon Tori KM","KM Lunch"
"15094",29051,"Edamame","Appetizer"
"15095",29052,"[SL]Beef Nabe Set","Nabe Lunch"
"15096",29052,"[SL]Beef Nabe Set","Nabe Lunch"
"15097",29053,"[SL]Salmon Teri & Chicken","Steak Lunch"
"15098",29053,"[KL]Saba Shioyaki Kobachi","Kobachi Lunch"
"15099",29053,"Kids Sushi Udon Meal","Kids"
"15100",29054,"Komachi Bento","Bento"
"15101",29054,"[SL]Una Don","Donburi Lunch"
"15102",29054,"[KL]Saba Shioyaki Kobachi","Kobachi Lunch"
"15103",29055,"Chicken Karaage Karikari Gobo","MeatVeg"
"15104",29056,"[SL]Salmon Oyako Chirashi Set","Chirashi Lunch"
"15105",29056,"[SL]Salmon Oyako Chirashi Set","Chirashi Lunch"
"15106",29057,"[SL]Salmon Sushi Mori","Sushi Lunch"
"15107",29057,"[SL]Salmon Sushi Mori","Sushi Lunch"
"15108",29057,"[SL]Salmon Sushi Mori","Sushi Lunch"
"15109",29057,"[SL]Salmon Oyako Chirashi Set","Chirashi Lunch"
"15110",29058,"[SL]Teriyaki Wagyu Harami Don","Donburi Lunch"
"15111",29058,"[3p]Sashimi 3K","Sashimi"
"15112",29058,"[SL]Temp Soba & Mini Sal Don","Washoku Lunch"
"15113",29058,"[KL]Pork Shogayaki Kobachi","Kobachi Lunch"
"15114",29058,"2 Fruit Juice Gls","Non-Alc"
"15115",29059,"Shokado Bento","Bento"
"15116",29060,"Shiso Juice","Non-Alc"
"15117",29060,"Kurogoma Pudding","Parfait"
"15118",29061,"[2p]Sashimi 7K","Sashimi"
"15119",29061,"Shokado Bento","Bento"
"15120",29061,"Kubota Senjyu","Sake"
"15121",29061,"Ebi Tempura","Seafood"
"15122",29062,"[SL]Aburi Kaisen KM","KM Lunch"
"15123",29062,"[KL]Saba Shioyaki Kobachi","Kobachi Lunch"
"15124",29062,"[2p]Sashimi 3K","Sashimi"
"15125",29063,"Shokado Bento","Bento"
"15126",29063,"[SL]Deluxe Sushi","Sushi Lunch"
"15127",29063,"[2p]Sashimi 5K","Sashimi"
"15128",29064,"[SL]Unagi Salmon Chirashi","Chirashi Lunch"
"15129",29065,"[SL]Mountain Pork Nabe Set","Nabe Lunch"
"15130",29066,"[SL]Aburi Kaisen KM","KM Lunch"
"15131",29066,"[SL]Salmon Tori KM","KM Lunch"
"15132",29066,"Unagi & Ab Salmon Oshisushi","Sushi"
"15133",29066,"SUN Tofu Cheesecake","Parfait"
"15134",29067,"[SL]Tokusen Tendon","Donburi Lunch"
"15135",29067,"[KL]Salmon Belly Teriyaki","Kobachi Lunch"
"15136",29068,"[CS]Aburi Salmon Hotate Don","Café"
"15137",29069,"[CS]Tendon Set","Café"
"15138",29070,"[SL]Unagi Yakiniku KM","KM Lunch"
"15139",29070,"Kurogoma Pudding","Parfait"
"15140",29070,"Drop of Hope Gls","Promo"
"15141",29071,"[CS]Aburi Salmon Hotate Don","Café"
"15142",29072,"[CS]Beef Sukiyaki","Café"
"15143",29072,"[CS]Chk Teriyaki","Café"
"15144",29073,"[CS]Ab Kaisen KM","Café"
"15145",29074,"[CS]Ab Kaisen KM","Café"
"15146",29074,"[CS]Sal & Tori KM","Café"
"15147",29074,"Kurogoma Pudding","Parfait"
"15148",29075,"[SD]Aus Wagyu Don & Una Yana","Washoku Set"
"15149",29075,"[SD]Tori & Unagi KM","Dinner KM"
"15150",29077,"[SD]CA Tonkatsu & Salmon","Washoku Set"
"15151",29079,"[SD]Aburi Kaisen Chirashi KM","Dinner KM"
"15152",29079,"Seafood Mix KM","Dinner KM"
"15153",29080,"[8pc]Nixon Roll","Sushi Roll"
"15154",29080,"[SD]Yakiniku KM","Dinner KM"
"15155",29080,"[8pc]Crispy Shrimp Avo Roll","Sushi Roll"
"15156",29080,"Surume Ika Teriyaki","Seafood"
"15157",29080,"Tempura Mori","Seafood"
"15158",29080,"Saba Shioyaki","Seafood"
"15159",29080,"Agedashi Tofu","Appetizer"
"15160",29081,"Classic Sushi Mori","Sushi"
"15161",29081,"Pork Shogayaki","MeatVeg"
"15162",29081,"Premium Malts 380ml","Beer"
"15163",29082,"US Tenderloin Steak","Steak"
"15164",29082,"Ebi Tempura","Seafood"
"15165",29082,"[4pc]Nixon Roll","Sushi Roll"
"15166",29082,"[4pc]Sp Aburi Salmon Roll","Sushi Roll"
"15167",29082,"Kaku Highball","Highball"
"15168",29083,"[SD]Gindara Teri & Sal Avo Sld","Prem Dinner"
"15169",29083,"[SD]Aus Wagyu Don & Una Yana","Washoku Set"
"15170",29083,"[4pc]Crispy Shrimp Avo Roll","Sushi Roll"
"15171",29084,"[SD]Unagi Yakiniku KM","Dinner KM"
"15172",29084,"Prem Kaisen Nabe","Nabe"
"15173",29084,"Sun Shake Salad","Salad"
"15174",29084,"Dessert Trio","Parfait"
"15175",29085,"[SD]Gindara Teri & Sal Avo Sld","Prem Dinner"
"15176",29087,"[SD]Niku Atsu Hotate Unagi KM","Dinner KM"
"15177",29087,"Unagi Salmon Chirashi","Chirashi"
"15178",29087,"Unagi & Ab Salmon Oshisushi","Sushi"
"15179",29087,"Canadian Tonkatsu","MeatVeg"
"15180",29087,"Pork Kalbi Yaki","MeatVeg"
"15181",29087,"Kake Udon","RiceNoodle"
"15182",29087,"Chawanmushi","Appetizer"
"15183",29088,"[SD]CA Tonkatsu & Salmon","Washoku Set"
"15184",29088,"Aus Wagyu Harami Don","RiceNoodle"
"15185",29088,"Ringo Highball","Promo"
"15186",29088,"Matcha Tiramisu","Parfait"
"15187",29088,"Kurogoma Pudding","Parfait"
"15188",29089,"[SD]Premium Seafood KM","Dinner KM"
"15189",29089,"Tokusen Tendon","RiceNoodle"
"15190",29089,"Una Don","RiceNoodle"
"15191",29089,"Foie Gras Millefeuille","Appetizer"
"15192",29089,"Tofu Parfait","Parfait"
"15193",29089,"Matcha Ice Cream","Parfait"
"15194",29091,"Niku Atsu Hotate Unagi KM","Dinner KM"
"15195",29091,"Salmon & Tori KM","Dinner KM"
"15196",29092,"Dassai Junmai 45","Sake"
"15197",29092,"Saba Salmon Teriyaki Steak","Steak"
"15198",29092,"Toro Salmon Sashimi","Sashimi"
"15199",29092,"Toro Salmon Sashimi","Sashimi"
"15200",29092,"Sun Shake Salad","Salad"
"15201",29092,"Chicken Karaage Karikari Gobo","MeatVeg"
"15202",29092,"SUN Tofu Cheesecake","Parfait"
"15203",29093,"[SD]Aburi Bara Chirashi Set","Sushi Set"
"15204",29093,"[DS]Salmon Belly Nabe","Nabe"
"15205",29094,"JP Wagyu Steak","Steak"
"15206",29094,"San Sui Getsu 240ml","Sake"
"15207",29094,"Tempura Mori","Seafood"
"15208",29094,"Teri Chicken Caesar Salad","Appetizer"
"15209",29094,"Chawanmushi","Appetizer"
"15210",29094,"Agedashi Tofu","Appetizer"
"15211",29095,"[DS]Beef Nabe","Nabe"
"15212",29095,"Hotate Salmon Unagi Chirashi","Chirashi"
"15213",29095,"Pork Shogayaki","MeatVeg"
"15214",29096,"[SD]Gindara Teri & Sal Avo Sld","Prem Dinner"
"15215",29096,"[DS]Beef Nabe","Nabe"
"15216",29096,"[2p]Sashimi 3K","Sashimi"
"15217",29097,"[SD]Aus Sirloin Steak","Steak Set"
"15218",29097,"[8pc]Sp Aburi Salmon Roll","Sushi Roll"
"15219",29097,"Saba Shioyaki","Seafood"
"15220",29097,"[4pc]Avo Soft Shell","Sushi Roll"
"15221",29097,"Chicken Karaage Karikari Gobo","MeatVeg"
"15222",29097,"Yuzu Honey Tea","Non-Alc"
"15223",29098,"[SD]Nama Kaisen Bara Chirashi","Sushi Set"
"15224",29098,"Surume Ika Teriyaki","Seafood"
"15225",29099,"Aus Wagyu Harami Don","RiceNoodle"
"15226",29099,"[4pc]Crispy Shrimp Mango Roll","Sushi Roll"
"15227",29100,"Chicken Pepper & Salmon","Steak"
"15228",29100,"Ringo Highball","Promo"
"15229",29100,"SUN Tofu Cheesecake","Parfait"
"15230",29100,"Peach Oolong","Mocktail"
"15231",29101,"[SD]Temp Soba & Mini Chirashi","Washoku Set"
"15232",29101,"Dessert Trio","Parfait"
"15233",29101,"Premium Malts 380ml","Beer"
"15234",29102,"[DS]Beef Nabe","Nabe"
"15235",29102,"[SD]Saba Shio & Pork Toji","Washoku Set"
"15236",29102,"[DS]Mt Pork Nabe","Nabe"
"15237",29103,"[DS]Kaisen Mix Nabe","Nabe"
"15238",29103,"Salmon Belly Teriyaki","Seafood"
"15239",29103,"Pork & Seafood Okonomiyaki","MeatVeg"
"15240",29103,"Chawanmushi","Appetizer"
"15241",29104,"Aburi Kaisen Bara Chirashi","Chirashi"
"15242",29104,"Unagi Salmon Chirashi","Chirashi"
"15243",29105,"JP Wagyu Steak","Steak"
"15244",29105,"Foie Gras Millefeuille","Appetizer"
"15245",29105,"Peach Oolong","Mocktail"
"15246",29106,"Nama Bara Chirashi","Chirashi"
"15247",29106,"[SD]Salmon & Tori KM","Dinner KM"
"15248",29106,"[4pc]Avo Soft Shell","Sushi Roll"
"15249",29106,"Premium Malts 380ml","Beer"
"15250",29107,"[SD]Japanese Wagyu Set","Steak Set"
"15251",29107,"[SD]SUN Chirashi Set","Sushi Set"
"15252",29107,"[SD]Salmon & Tori KM","Dinner KM"
"15253",29108,"San Sui Getsu 720ml","Sake"
"15254",29108,"San Sui Getsu 720ml","Sake"
"15255",29108,"San Sui Getsu 500ml","Sake"
"15256",29108,"Premium Malts 380ml","Beer"
"15257",29109,"[DS]Premium Kaisen Nabe","Nabe"
"15258",29109,"[SD]Salmon Oyako Chirashi Set","Sushi Set"
"15259",29109,"Kids Sushi Udon Meal","Kids"
"15260",29109,"Premium Malts 380ml","Beer"
"15261",29110,"[SD]Aus Sirloin Steak","Steak Set"
"15262",29110,"[SD]Hotate Sal Una Chirashi","Sushi Set"
"15263",29110,"[SD]Temp Soba & Mini Chirashi","Washoku Set"
"15264",29110,"[SD]CA Tonkatsu & Salmon","Washoku Set"
"15265",29110,"Tako Red Ginger Chigiri Age","Appetizer"
"15266",29110,"Passionfruit Highball","Highball"
"15267",29110,"Original Ume Soda","Non-Alc"
"15268",29110,"Calpis Green Apple Gls","Non-Alc"
"15269",29111,"[SD]Aburi Bara Chirashi Set","Sushi Set"
"15270",29111,"[DS]Salmon Belly Nabe","Nabe"
"15271",29111,"Dessert Trio","Parfait"
"15272",29111,"Matcha Parfait","Parfait"
"15273",29112,"[SD]Hamachi Kama & Sal Sashimi","Prem Dinner"
"15274",29112,"Zaru Udon","RiceNoodle"
"15275",29112,"Crispy Fried Apple Pie","Parfait"
"15276",29112,"House Red - Gls","Wine"
"15277",29112,"Ginger Tea","Non-Alc"
"15278",29112,"Kamaboko","Side"
"15279",29113,"[DS]Beef Nabe","Nabe"
"15280",29113,"[DS]Beef Nabe","Nabe"
"15281",29113,"[SD]Salmon Oyako Chirashi Set","Sushi Set"
"15282",29113,"Unagi Yakiniku KM","Dinner KM"
"15283",29113,"Una Don","RiceNoodle"
